Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/15/2025,11/16/2025,AMAZON MKTPL*B88TI40I2,Shopping,Sale,-24.63,
11/15/2025,11/16/2025,PAYPAL *STEAM GAMES,Entertainment,Sale,-25.00,
11/15/2025,11/16/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-96.93,
11/15/2025,11/16/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,10.93,
11/15/2025,11/16/2025,RED MOUNTAIN MARKET,Groceries,Sale,-19.92,
11/13/2025,11/14/2025,AMAZON MKTPL*BT10P3YP2,Shopping,Sale,-38.13,
11/12/2025,11/14/2025,TACO BELL 025385,Food & Drink,Sale,-5.95,
11/13/2025,11/13/2025,1 Month Member Subscripti,Entertainment,Sale,-13.99,
11/11/2025,11/12/2025,Payment Thank You-Mobile,,Payment,2426.76,
11/11/2025,11/12/2025,CHEVRON 0385252,Gas,Sale,-6.15,
11/10/2025,11/11/2025,PAYPAL *MCDONALDS 10803,Food & Drink,Sale,-7.84,
11/10/2025,11/11/2025,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-21.35,
11/11/2025,11/11/2025,GRUBHUB*PANDAEXPRESS,Food & Drink,Sale,-22.10,
11/09/2025,11/10/2025,DD *DOORDASH ELJINETEM,Food & Drink,Sale,-15.87,
11/08/2025,11/09/2025,PAYPAL *WALMART COM WALMA,Groceries,Return,2.04,
11/08/2025,11/09/2025,AMAZON MKTPL*BT1QN4VE1,Shopping,Sale,-14.93,
11/06/2025,11/09/2025,PERFORMANCE FITNESS - ST,Entertainment,Sale,-37.35,
11/07/2025,11/09/2025,CHEVRON 0385252,Gas,Sale,-26.68,
11/07/2025,11/09/2025,CARPARTSCOM *,Automotive,Sale,-48.61,
11/08/2025,11/09/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-48.84,
11/08/2025,11/09/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-2.15,
11/08/2025,11/09/2025,AMAZON MKTPL*BT81X1M71,Shopping,Sale,-41.37,
11/05/2025,11/06/2025,CARPARTSCOM *,Automotive,Sale,-431.30,
11/05/2025,11/06/2025,CARPARTSCOM *,Automotive,Sale,-51.10,
11/05/2025,11/05/2025,CARPARTS.COM,Automotive,Sale,-87.30,
11/04/2025,11/05/2025,Amazon.com*NK8LD5RN0,Shopping,Sale,-17.52,
11/03/2025,11/04/2025,CHEVRON 0385252,Gas,Sale,-6.20,
11/02/2025,11/03/2025,UTAH-DMV RENEWAL EXPRE,Bills & Utilities,Sale,-91.00,
11/02/2025,11/03/2025,PAYPAL *WALMART COM WALMA,Groceries,Sale,-42.17,
11/02/2025,11/03/2025,PAYPAL *BAMBULABUSA,Shopping,Sale,-425.93,
11/02/2025,11/03/2025,JIFFY LUBE #1935,Automotive,Sale,-286.44,
11/02/2025,11/03/2025,AMAZON MKTPL*NK2ES85Q1,Shopping,Sale,-14.39,
