Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/09/2024,10/10/2024,DIGBY'S MARKET,Groceries,Sale,-11.86,
10/09/2024,10/10/2024,AMAZON MKTPL*ZT9W628O3,Shopping,Sale,-217.81,
10/09/2024,10/10/2024,Amazon Prime*SI4YM86A3,Bills & Utilities,Sale,-16.45,
10/07/2024,10/08/2024,PAYPAL *EBAY US,Shopping,Sale,-25.49,
10/05/2024,10/07/2024,MOBETTAHS SANTA CLARA 28,Food & Drink,Sale,-2.90,
10/04/2024,10/06/2024,DIGBY'S MARKET,Groceries,Sale,-8.73,
10/06/2024,10/06/2024,MOBETTAHSHAWAIIAN 357,Food & Drink,Sale,-19.38,
10/04/2024,10/04/2024,Payment Thank You-Mobile,,Payment,1499.64,
09/19/2024,10/04/2024,FRONTIER AI BFHVHD,Travel,Adjustment,124.96,
10/03/2024,10/04/2024,HARMONS-SANTA CLARA,Groceries,Sale,-20.00,
10/02/2024,10/03/2024,UTAH- MVED,Bills & Utilities,Sale,-348.75,
10/02/2024,10/03/2024,DIGBY'S MARKET,Groceries,Sale,-10.82,
10/01/2024,10/02/2024,BEANS &amp; BREWS 904,Food & Drink,Sale,-10.97,
10/02/2024,10/02/2024,PAYPAL *PROGRESSIVE,Bills & Utilities,Sale,-262.00,
09/29/2024,09/30/2024,COSTCO WHSE #0672,Shopping,Sale,-15.34,
09/29/2024,09/30/2024,COSTCO WHSE #0672,Shopping,Sale,-7.18,
09/29/2024,09/30/2024,DIGBY'S MARKET,Groceries,Sale,-13.66,
09/28/2024,09/30/2024,FACTORY POWER SPORTS,Automotive,Sale,-288.21,
09/28/2024,09/30/2024,CARLS JR 1101940 ONLINE,Food & Drink,Sale,-13.72,
09/28/2024,09/29/2024,TST* XETAVA GARDENS CAFE,Food & Drink,Sale,-26.72,
09/28/2024,09/29/2024,DIGBY'S MARKET,Groceries,Sale,-36.09,
09/27/2024,09/29/2024,DIGBY'S MARKET,Groceries,Sale,-21.18,
09/26/2024,09/27/2024,COSTCO WHSE #0672,Shopping,Sale,-6.44,
09/26/2024,09/27/2024,COSTCO WHSE #0672,Shopping,Sale,-63.78,
09/24/2024,09/26/2024,MEN678 MENCHIES DINOSA,Food & Drink,Sale,-11.95,
09/25/2024,09/26/2024,SP WOOTING STORE US,Shopping,Sale,-219.49,
09/24/2024,09/25/2024,DIGBY'S MARKET,Groceries,Sale,-15.32,
09/24/2024,09/25/2024,APPLE.COM/BILL,Shopping,Sale,-2.99,
09/23/2024,09/24/2024,McDonalds 20759,Food & Drink,Sale,-5.39,
09/22/2024,09/23/2024,ROCKY VISTA HEALTH CENTER,Health & Wellness,Sale,-83.16,
09/20/2024,09/22/2024,PAYPAL *STEAM GAMES,Entertainment,Sale,-5.00,
09/20/2024,09/22/2024,HARMONS-SANTA CLARA,Groceries,Sale,-23.22,
09/21/2024,09/22/2024,DIGBY'S MARKET,Groceries,Sale,-44.65,
09/20/2024,09/22/2024,COSTCO WHSE #0672,Shopping,Sale,-103.02,
09/20/2024,09/22/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-12.80,
09/20/2024,09/22/2024,COSTCO WHSE #0672,Shopping,Sale,-8.58,
09/20/2024,09/22/2024,FAMILY DOLLAR,Shopping,Sale,-8.24,
09/19/2024,09/20/2024,FRONTIER AI BFHVHD,Travel,Sale,-124.96,
09/18/2024,09/20/2024,McDonalds 20759,Food & Drink,Sale,-5.93,
