TransactionDate,Description,Category,Type,Amount
09/15/2023,SAFEWAY #2607,Groceries,Sale,-44.5
09/15/2023,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-173.64
09/12/2023,WWW COSTCO COM,Shopping,Return,179.79
09/13/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.0
09/11/2023,WESTSIDE HARDWARE,Home,Sale,-1.31
09/10/2023,BURGER KING #4447,Food & Drink,Sale,-3.27
09/09/2023,7-ELEVEN 16346,Gas,Sale,-5.18
09/10/2023,SANTA CRUZ GAS &amp; SHOP,Gas,Sale,-39.69
09/09/2023,McDonalds 778,Food & Drink,Sale,-4.46
09/08/2023,WESTSIDE HARDWARE,Home,Sale,-1.97
09/09/2023,AMZN Mktp US*TR3O663M0,Shopping,Sale,-11.35
09/09/2023,Amazon.com*TR7JA91G2,Shopping,Sale,-6.53
09/09/2023,AMZN Mktp US*TR5398AE2,Shopping,Sale,-2.19
09/08/2023,SAFEWAY #2607,Groceries,Sale,-31.85
09/09/2023,Amazon Prime*TL1LS1UB1,Bills & Utilities,Sale,-16.38
09/06/2023,SPIRIT AIRL 4870362201372,Travel,Sale,-51.0
09/06/2023,SPIRIT AIRL 4870362201358,Travel,Sale,-19.89
09/06/2023,SPIRIT AIRL 4870362242995,Travel,Sale,-58.78
09/07/2023,WWW COSTCO COM,Shopping,Sale,-512.53
09/06/2023,ST GEORGE  SHUTTLE,Travel,Sale,-75.9
09/06/2023,BURGER KING #11888,Food & Drink,Sale,-7.53
09/05/2023,AMZN Mktp US,Shopping,Return,7.63
09/05/2023,COSTCO WHSE #0149,Shopping,Sale,-24.99
09/04/2023,7-ELEVEN 16346,Gas,Sale,-9.02
09/04/2023,TST* HUMBLE SEA BREWING -,Food & Drink,Sale,-30.05
09/04/2023,TST* HUMBLE SEA BREWING -,Food & Drink,Sale,-16.39
09/03/2023,McDonalds 778,Food & Drink,Sale,-6.85
09/03/2023,TARGET        00027953,Shopping,Sale,-32.69
09/02/2023,SAFEWAY #2607,Groceries,Sale,-28.14
09/03/2023,Subway 5104,Food & Drink,Sale,-10.26
09/01/2023,SAFEWAY #2607,Groceries,Sale,-61.78
09/01/2023,CVS/PHARMACY #09332,Health & Wellness,Sale,-15.45
09/02/2023,LYFT   *2 RIDES 08-31,Travel,Sale,-83.98
08/31/2023,AMZN Mktp US,Shopping,Return,63.08
08/28/2023,WESTSIDE CAR WASH SANTA C,Automotive,Sale,-6.0
08/29/2023,Amazon.com*T31YY02I0,Shopping,Sale,-10.4
08/28/2023,FRONTIER AIRLINES,Travel,Return,64.98
08/28/2023,7-ELEVEN 16346,Gas,Sale,-8.32
08/28/2023,Subway 14313,Food & Drink,Sale,-9.48
08/26/2023,SAFEWAY #2607,Groceries,Sale,-14.49
08/25/2023,ALMAR CLEANERS,Personal,Sale,-15.0
08/27/2023,WINGSTOP 570 OLO,Food & Drink,Sale,-20.72
08/25/2023,SAFEWAY #2607,Groceries,Sale,-63.71
08/25/2023,FASTRAK VIOLATION CENT,Travel,Sale,-12.0
08/25/2023,McDonalds 778,Food & Drink,Sale,-4.35
08/25/2023,AMZN Mktp US*T33GZ1O70,Shopping,Sale,-9.82
08/25/2023,BURGER KING #4447,Food & Drink,Sale,-10.37
08/24/2023,APPLE.COM/BILL,Shopping,Sale,-2.99
08/24/2023,CVS/PHARMACY #09332,Health & Wellness,Sale,-15.96
08/23/2023,FRONTIER AIRLINES,Travel,Return,64.98
08/23/2023,FFNHELP.COM AFF,Personal,Sale,-22.36
08/22/2023,Amazon.com*TQ4J30HZ0,Shopping,Sale,-16.8
08/22/2023,CHEVRON 0090499,Gas,Sale,-30.07
08/21/2023,SAFEWAY #2607,Groceries,Sale,-23.68
08/22/2023,AMZN Mktp US*TQ2H72P81,Shopping,Sale,-195.21
08/20/2023,BUC-EE'S #52,Groceries,Sale,-37.36
08/20/2023,SPIRIT AIRL 4870360352135,Travel,Sale,-89.0
08/21/2023,IN N OUT BURGER 240,Food & Drink,Sale,-10.88
08/20/2023,82858 - TERMINAL A EMPLOY,Travel,Sale,-72.0
08/21/2023,AMZN Mktp US*TQ0ZT8TT1,Shopping,Sale,-20.75
08/19/2023,DELTA AIR   0068015670964,Travel,Sale,-478.9
08/21/2023,AMZN Mktp US*TQ2BF0QT2,Shopping,Sale,-63.08
08/17/2023,IN N OUT BURGER 240,Food & Drink,Sale,-10.88
08/19/2023,SPIRIT AIRLINES ONBOARD R,Food & Drink,Sale,-8.0
08/18/2023,SPIRIT AIRL 4870360080005,Travel,Sale,-99.0
08/18/2023,SHELLIS NEWS ST2238,Shopping,Sale,-2.9
08/19/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-76.0
08/17/2023,RITE AID 05979,Health & Wellness,Sale,-9.98
08/17/2023,HUDSONNEWS  ST887,Shopping,Sale,-8.38
